,Key,Year,subject,bat_species,Virus,viral_family,family
4,ADB9EPP8,2014,cells,Eidolon helvum,African HeV (strain M74),Hepeviridae,Pteropodidae
3,ADB9EPP8,2014,cells,Hypsignathus monstrosus,African HeV (strain M74),Hepeviridae,Pteropodidae
255,UMQ6IH3N,1994,bat,Pipistrellus pipistrellus,ARAV,Rhabdoviridae,Vespertilionidae
7,2KPIKETK,2013,cells,Myotis davidii,bat adenovirus-TJM (BtAdV-TJM),Adenoviridae,Vespertilionidae
231,VLWNZFHB,2010,bat,Rousettus leschenaultii,Bat-CoV,Coronaviridae,Pteropodidae
142,DJRHSNTC,2016,cells,Artibeus jamaicensis,BDBV,Filoviridae,Phyllostomidae
136,DJRHSNTC,2016,cells,Epomops buettikoferi,BDBV,Filoviridae,Pteropodidae
154,DJRHSNTC,2016,cells,Eptesicus fuscus,BDBV,Filoviridae,Vespertilionidae
130,DJRHSNTC,2016,cells,Hypsignathus monstrosus,BDBV,Filoviridae,Pteropodidae
160,DJRHSNTC,2016,cells,Rousettus aegyptiacus,BDBV,Filoviridae,Pteropodidae
215,MDMP4WTJ,2015,bat,Rousettus aegyptiacus,BDBV,Filoviridae,Pteropodidae
148,DJRHSNTC,2016,cells,Tadarida brasiliensis,BDBV,Filoviridae,Molossidae
284,U98TX4XV,1967,bat,Myotis myotis,Bunyavirus (Tahyna Virus),Peribunyaviridae,Vespertilionidae
120,F366DFHI,2020,cells,Pteropus alecto,Cedar,Paramyxoviridae,Pteropodidae
208,APRU5M8L,2016,bat,Eptesicus fuscus,CHIKV,Togaviridae,Vespertilionidae
285,SAUSCC2X,1966,bat,Pteropus giganteus,CHIKV,Togaviridae,Pteropodidae
301,L35G8RD8,1961,bat,Eptesicus fuscus,CVB3 (Coxsackie B-3),Picornaviridae,Vespertilionidae
165,FLSUK2D4,2017,cells,Artibeus jamaicensis,DENV-1,Flaviviridae,Phyllostomidae
217,9DUQ9AYT,2014,bat,Artibeus jamaicensis,DENV-1,Flaviviridae,Phyllostomidae
167,FLSUK2D4,2017,cells,Desmodus rotundus,DENV-1,Flaviviridae,Phyllostomidae
166,FLSUK2D4,2017,cells,Molossus sinaloe,DENV-1,Flaviviridae,Molossidae
